Position (19 m)	time (year)	Gk/KM	ηK	ηM	displacement (m)		Position (15 m)	time (year)	Gk/KM	ηK	ηM	displacement (m)		Position (10 m)	time (year)	Gk/KM	ηK	ηM	displacement (m)		Position (5m)	time (year)	Gk/KM	ηK	ηM	displacement (m)		Position (0 m)	time (year)	Gk/KM	ηK	ηM	displacement (m)
1	1	0.2	200000	2000000	-0.0347		2	1	0.2	200000	2000000	-0.0322		3	1	0.2	200000	2000000	-0.0298		4	1	0.2	200000	2000000	-0.0278		5	1	0.2	200000	2000000	-0.0258
1	2	0.2	200000	2000000	-0.0405		2	2	0.2	200000	2000000	-0.0385		3	2	0.2	200000	2000000	-0.0366		4	2	0.2	200000	2000000	-0.0350		5	2	0.2	200000	2000000	-0.0332
1	3	0.2	200000	2000000	-0.0447		2	3	0.2	200000	2000000	-0.0430		3	3	0.2	200000	2000000	-0.0415		4	3	0.2	200000	2000000	-0.0403		5	3	0.2	200000	2000000	-0.0387
1	4	0.2	200000	2000000	-0.0479		2	4	0.2	200000	2000000	-0.0465		3	4	0.2	200000	2000000	-0.0454		4	4	0.2	200000	2000000	-0.0444		5	4	0.2	200000	2000000	-0.0430
1	5	0.2	200000	2000000	-0.0505		2	5	0.2	200000	2000000	-0.0494		3	5	0.2	200000	2000000	-0.0485		4	5	0.2	200000	2000000	-0.0478		5	5	0.2	200000	2000000	-0.0465
1	6	0.2	200000	2000000	-0.0527		2	6	0.2	200000	2000000	-0.0518		3	6	0.2	200000	2000000	-0.0511		4	6	0.2	200000	2000000	-0.0506		5	6	0.2	200000	2000000	-0.0494
1	7	0.2	200000	2000000	-0.0547		2	7	0.2	200000	2000000	-0.0538		3	7	0.2	200000	2000000	-0.0534		4	7	0.2	200000	2000000	-0.0530		5	7	0.2	200000	2000000	-0.0519
1	8	0.2	200000	2000000	-0.0564		2	8	0.2	200000	2000000	-0.0557		3	8	0.2	200000	2000000	-0.0554		4	8	0.2	200000	2000000	-0.0552		5	8	0.2	200000	2000000	-0.0542
1	9	0.2	200000	2000000	-0.0580		2	9	0.2	200000	2000000	-0.0573		3	9	0.2	200000	2000000	-0.0571		4	9	0.2	200000	2000000	-0.0571		5	9	0.2	200000	2000000	-0.0562
1	10	0.2	200000	2000000	-0.0594		2	10	0.2	200000	2000000	-0.0588		3	10	0.2	200000	2000000	-0.0587		4	10	0.2	200000	2000000	-0.0588		5	10	0.2	200000	2000000	-0.0580
1	11	0.2	200000	2000000	-0.0608		2	11	0.2	200000	2000000	-0.0602		3	11	0.2	200000	2000000	-0.0601		4	11	0.2	200000	2000000	-0.0603		5	11	0.2	200000	2000000	-0.0596
1	12	0.2	200000	2000000	-0.0620		2	12	0.2	200000	2000000	-0.0614		3	12	0.2	200000	2000000	-0.0614		4	12	0.2	200000	2000000	-0.0617		5	12	0.2	200000	2000000	-0.0610
1	13	0.2	200000	2000000	-0.0632		2	13	0.2	200000	2000000	-0.0626		3	13	0.2	200000	2000000	-0.0626		4	13	0.2	200000	2000000	-0.0630		5	13	0.2	200000	2000000	-0.0624
1	14	0.2	200000	2000000	-0.0642		2	14	0.2	200000	2000000	-0.0637		3	14	0.2	200000	2000000	-0.0637		4	14	0.2	200000	2000000	-0.0642		5	14	0.2	200000	2000000	-0.0636
1	15	0.2	200000	2000000	-0.0652		2	15	0.2	200000	2000000	-0.0647		3	15	0.2	200000	2000000	-0.0647		4	15	0.2	200000	2000000	-0.0653		5	15	0.2	200000	2000000	-0.0648
1	1	0.2	400000	2000000	-0.0313		2	1	0.2	400000	2000000	-0.0284		3	1	0.2	400000	2000000	-0.0257		4	1	0.2	400000	2000000	-0.0236		5	1	0.2	400000	2000000	-0.0215
1	2	0.2	400000	2000000	-0.0354		2	2	0.2	400000	2000000	-0.0329		3	2	0.2	400000	2000000	-0.0306		4	2	0.2	400000	2000000	-0.0287		5	2	0.2	400000	2000000	-0.0267
1	3	0.2	400000	2000000	-0.0388		2	3	0.2	400000	2000000	-0.0366		3	3	0.2	400000	2000000	-0.0345		4	3	0.2	400000	2000000	-0.0328		5	3	0.2	400000	2000000	-0.0310
1	4	0.2	400000	2000000	-0.0416		2	4	0.2	400000	2000000	-0.0397		3	4	0.2	400000	2000000	-0.0379		4	4	0.2	400000	2000000	-0.0364		5	4	0.2	400000	2000000	-0.0346
1	5	0.2	400000	2000000	-0.0440		2	5	0.2	400000	2000000	-0.0423		3	5	0.2	400000	2000000	-0.0407		4	5	0.2	400000	2000000	-0.0394		5	5	0.2	400000	2000000	-0.0378
1	6	0.2	400000	2000000	-0.0460		2	6	0.2	400000	2000000	-0.0445		3	6	0.2	400000	2000000	-0.0432		4	6	0.2	400000	2000000	-0.0420		5	6	0.2	400000	2000000	-0.0405
1	7	0.2	400000	2000000	-0.0479		2	7	0.2	400000	2000000	-0.0465		3	7	0.2	400000	2000000	-0.0454		4	7	0.2	400000	2000000	-0.0444		5	7	0.2	400000	2000000	-0.0429
1	8	0.2	400000	2000000	-0.0495		2	8	0.2	400000	2000000	-0.0483		3	8	0.2	400000	2000000	-0.0473		4	8	0.2	400000	2000000	-0.0465		5	8	0.2	400000	2000000	-0.0451
1	9	0.2	400000	2000000	-0.0510		2	9	0.2	400000	2000000	-0.0499		3	9	0.2	400000	2000000	-0.0491		4	9	0.2	400000	2000000	-0.0484		5	9	0.2	400000	2000000	-0.0471
1	10	0.2	400000	2000000	-0.0524		2	10	0.2	400000	2000000	-0.0514		3	10	0.2	400000	2000000	-0.0507		4	10	0.2	400000	2000000	-0.0501		5	10	0.2	400000	2000000	-0.0489
1	11	0.2	400000	2000000	-0.0537		2	11	0.2	400000	2000000	-0.0528		3	11	0.2	400000	2000000	-0.0522		4	11	0.2	400000	2000000	-0.0517		5	11	0.2	400000	2000000	-0.0506
1	12	0.2	400000	2000000	-0.0549		2	12	0.2	400000	2000000	-0.0541		3	12	0.2	400000	2000000	-0.0536		4	12	0.2	400000	2000000	-0.0532		5	12	0.2	400000	2000000	-0.0521
1	13	0.2	400000	2000000	-0.0560		2	13	0.2	400000	2000000	-0.0553		3	13	0.2	400000	2000000	-0.0549		4	13	0.2	400000	2000000	-0.0546		5	13	0.2	400000	2000000	-0.0536
1	14	0.2	400000	2000000	-0.0571		2	14	0.2	400000	2000000	-0.0564		3	14	0.2	400000	2000000	-0.0561		4	14	0.2	400000	2000000	-0.0560		5	14	0.2	400000	2000000	-0.0550
1	15	0.2	400000	2000000	-0.0581		2	15	0.2	400000	2000000	-0.0575		3	15	0.2	400000	2000000	-0.0573		4	15	0.2	400000	2000000	-0.0572		5	15	0.2	400000	2000000	-0.0563
1	1	0.2	600000	2000000	-0.0300		2	1	0.2	600000	2000000	-0.0270		3	1	0.2	600000	2000000	-0.0242		4	1	0.2	600000	2000000	-0.0220		5	1	0.2	600000	2000000	-0.0199
1	2	0.2	600000	2000000	-0.0333		2	2	0.2	600000	2000000	-0.0306		3	2	0.2	600000	2000000	-0.0280		4	2	0.2	600000	2000000	-0.0260		5	2	0.2	600000	2000000	-0.0240
1	3	0.2	600000	2000000	-0.0361		2	3	0.2	600000	2000000	-0.0337		3	3	0.2	600000	2000000	-0.0314		4	3	0.2	600000	2000000	-0.0295		5	3	0.2	600000	2000000	-0.0276
1	4	0.2	600000	2000000	-0.0386		2	4	0.2	600000	2000000	-0.0363		3	4	0.2	600000	2000000	-0.0343		4	4	0.2	600000	2000000	-0.0325		5	4	0.2	600000	2000000	-0.0307
1	5	0.2	600000	2000000	-0.0407		2	5	0.2	600000	2000000	-0.0387		3	5	0.2	600000	2000000	-0.0368		4	5	0.2	600000	2000000	-0.0352		5	5	0.2	600000	2000000	-0.0335
1	6	0.2	600000	2000000	-0.0427		2	6	0.2	600000	2000000	-0.0408		3	6	0.2	600000	2000000	-0.0391		4	6	0.2	600000	2000000	-0.0377		5	6	0.2	600000	2000000	-0.0360
1	7	0.2	600000	2000000	-0.0444		2	7	0.2	600000	2000000	-0.0427		3	7	0.2	600000	2000000	-0.0412		4	7	0.2	600000	2000000	-0.0399		5	7	0.2	600000	2000000	-0.0382
1	8	0.2	600000	2000000	-0.0459		2	8	0.2	600000	2000000	-0.0444		3	8	0.2	600000	2000000	-0.0430		4	8	0.2	600000	2000000	-0.0418		5	8	0.2	600000	2000000	-0.0403
1	9	0.2	600000	2000000	-0.0474		2	9	0.2	600000	2000000	-0.0459		3	9	0.2	600000	2000000	-0.0447		4	9	0.2	600000	2000000	-0.0437		5	9	0.2	600000	2000000	-0.0422
1	10	0.2	600000	2000000	-0.0487		2	10	0.2	600000	2000000	-0.0474		3	10	0.2	600000	2000000	-0.0463		4	10	0.2	600000	2000000	-0.0454		5	10	0.2	600000	2000000	-0.0439
1	11	0.2	600000	2000000	-0.0499		2	11	0.2	600000	2000000	-0.0487		3	11	0.2	600000	2000000	-0.0478		4	11	0.2	600000	2000000	-0.0469		5	11	0.2	600000	2000000	-0.0456
1	12	0.2	600000	2000000	-0.0511		2	12	0.2	600000	2000000	-0.0500		3	12	0.2	600000	2000000	-0.0491		4	12	0.2	600000	2000000	-0.0484		5	12	0.2	600000	2000000	-0.0471
1	13	0.2	600000	2000000	-0.0522		2	13	0.2	600000	2000000	-0.0512		3	13	0.2	600000	2000000	-0.0504		4	13	0.2	600000	2000000	-0.0498		5	13	0.2	600000	2000000	-0.0485
1	14	0.2	600000	2000000	-0.0532		2	14	0.2	600000	2000000	-0.0523		3	14	0.2	600000	2000000	-0.0516		4	14	0.2	600000	2000000	-0.0511		5	14	0.2	600000	2000000	-0.0499
1	15	0.2	600000	2000000	-0.0542		2	15	0.2	600000	2000000	-0.0534		3	15	0.2	600000	2000000	-0.0528		4	15	0.2	600000	2000000	-0.0523		5	15	0.2	600000	2000000	-0.0512
1	1	0.2	800000	2000000	-0.0293		2	1	0.2	800000	2000000	-0.0263		3	1	0.2	800000	2000000	-0.0234		4	1	0.2	800000	2000000	-0.0212		5	1	0.2	800000	2000000	-0.0191
1	2	0.2	800000	2000000	-0.0321		2	2	0.2	800000	2000000	-0.0293		3	2	0.2	800000	2000000	-0.0267		4	2	0.2	800000	2000000	-0.0245		5	2	0.2	800000	2000000	-0.0225
1	3	0.2	800000	2000000	-0.0346		2	3	0.2	800000	2000000	-0.0320		3	3	0.2	800000	2000000	-0.0295		4	3	0.2	800000	2000000	-0.0276		5	3	0.2	800000	2000000	-0.0256
1	4	0.2	800000	2000000	-0.0368		2	4	0.2	800000	2000000	-0.0344		3	4	0.2	800000	2000000	-0.0321		4	4	0.2	800000	2000000	-0.0303		5	4	0.2	800000	2000000	-0.0284
1	5	0.2	800000	2000000	-0.0388		2	5	0.2	800000	2000000	-0.0365		3	5	0.2	800000	2000000	-0.0345		4	5	0.2	800000	2000000	-0.0328		5	5	0.2	800000	2000000	-0.0309
1	6	0.2	800000	2000000	-0.0406		2	6	0.2	800000	2000000	-0.0385		3	6	0.2	800000	2000000	-0.0366		4	6	0.2	800000	2000000	-0.0350		5	6	0.2	800000	2000000	-0.0332
1	7	0.2	800000	2000000	-0.0422		2	7	0.2	800000	2000000	-0.0403		3	7	0.2	800000	2000000	-0.0385		4	7	0.2	800000	2000000	-0.0370		5	7	0.2	800000	2000000	-0.0353
1	8	0.2	800000	2000000	-0.0437		2	8	0.2	800000	2000000	-0.0419		3	8	0.2	800000	2000000	-0.0403		4	8	0.2	800000	2000000	-0.0389		5	8	0.2	800000	2000000	-0.0373
1	9	0.2	800000	2000000	-0.0450		2	9	0.2	800000	2000000	-0.0434		3	9	0.2	800000	2000000	-0.0419		4	9	0.2	800000	2000000	-0.0407		5	9	0.2	800000	2000000	-0.0391
1	10	0.2	800000	2000000	-0.0463		2	10	0.2	800000	2000000	-0.0448		3	10	0.2	800000	2000000	-0.0434		4	10	0.2	800000	2000000	-0.0423		5	10	0.2	800000	2000000	-0.0408
1	11	0.2	800000	2000000	-0.0475		2	11	0.2	800000	2000000	-0.0461		3	11	0.2	800000	2000000	-0.0449		4	11	0.2	800000	2000000	-0.0438		5	11	0.2	800000	2000000	-0.0423
1	12	0.2	800000	2000000	-0.0486		2	12	0.2	800000	2000000	-0.0473		3	12	0.2	800000	2000000	-0.0462		4	12	0.2	800000	2000000	-0.0452		5	12	0.2	800000	2000000	-0.0438
1	13	0.2	800000	2000000	-0.0497		2	13	0.2	800000	2000000	-0.0485		3	13	0.2	800000	2000000	-0.0475		4	13	0.2	800000	2000000	-0.0466		5	13	0.2	800000	2000000	-0.0452
1	14	0.2	800000	2000000	-0.0507		2	14	0.2	800000	2000000	-0.0496		3	14	0.2	800000	2000000	-0.0487		4	14	0.2	800000	2000000	-0.0479		5	14	0.2	800000	2000000	-0.0465
1	15	0.2	800000	2000000	-0.0516		2	15	0.2	800000	2000000	-0.0506		3	15	0.2	800000	2000000	-0.0498		4	15	0.2	800000	2000000	-0.0491		5	15	0.2	800000	2000000	-0.0478
1	1	0.2	1000000	2000000	-0.0289		2	1	0.2	1000000	2000000	-0.0258		3	1	0.2	1000000	2000000	-0.0229		4	1	0.2	1000000	2000000	-0.0207		5	1	0.2	1000000	2000000	-0.0185
1	2	0.2	1000000	2000000	-0.0313		2	2	0.2	1000000	2000000	-0.0285		3	2	0.2	1000000	2000000	-0.0258		4	2	0.2	1000000	2000000	-0.0236		5	2	0.2	1000000	2000000	-0.0216
1	3	0.2	1000000	2000000	-0.0336		2	3	0.2	1000000	2000000	-0.0309		3	3	0.2	1000000	2000000	-0.0284		4	3	0.2	1000000	2000000	-0.0263		5	3	0.2	1000000	2000000	-0.0244
1	4	0.2	1000000	2000000	-0.0356		2	4	0.2	1000000	2000000	-0.0331		3	4	0.2	1000000	2000000	-0.0307		4	4	0.2	1000000	2000000	-0.0288		5	4	0.2	1000000	2000000	-0.0269
1	5	0.2	1000000	2000000	-0.0374		2	5	0.2	1000000	2000000	-0.0351		3	5	0.2	1000000	2000000	-0.0329		4	5	0.2	1000000	2000000	-0.0311		5	5	0.2	1000000	2000000	-0.0292
1	6	0.2	1000000	2000000	-0.0391		2	6	0.2	1000000	2000000	-0.0369		3	6	0.2	1000000	2000000	-0.0349		4	6	0.2	1000000	2000000	-0.0332		5	6	0.2	1000000	2000000	-0.0314
1	7	0.2	1000000	2000000	-0.0407		2	7	0.2	1000000	2000000	-0.0386		3	7	0.2	1000000	2000000	-0.0367		4	7	0.2	1000000	2000000	-0.0351		5	7	0.2	1000000	2000000	-0.0333
1	8	0.2	1000000	2000000	-0.0421		2	8	0.2	1000000	2000000	-0.0402		3	8	0.2	1000000	2000000	-0.0384		4	8	0.2	1000000	2000000	-0.0369		5	8	0.2	1000000	2000000	-0.0352
1	9	0.2	1000000	2000000	-0.0434		2	9	0.2	1000000	2000000	-0.0416		3	9	0.2	1000000	2000000	-0.0400		4	9	0.2	1000000	2000000	-0.0386		5	9	0.2	1000000	2000000	-0.0369
1	10	0.2	1000000	2000000	-0.0446		2	10	0.2	1000000	2000000	-0.0429		3	10	0.2	1000000	2000000	-0.0414		4	10	0.2	1000000	2000000	-0.0401		5	10	0.2	1000000	2000000	-0.0385
1	11	0.2	1000000	2000000	-0.0458		2	11	0.2	1000000	2000000	-0.0442		3	11	0.2	1000000	2000000	-0.0428		4	11	0.2	1000000	2000000	-0.0416		5	11	0.2	1000000	2000000	-0.0400
1	12	0.2	1000000	2000000	-0.0469		2	12	0.2	1000000	2000000	-0.0454		3	12	0.2	1000000	2000000	-0.0441		4	12	0.2	1000000	2000000	-0.0430		5	12	0.2	1000000	2000000	-0.0415
1	13	0.2	1000000	2000000	-0.0479		2	13	0.2	1000000	2000000	-0.0465		3	13	0.2	1000000	2000000	-0.0453		4	13	0.2	1000000	2000000	-0.0443		5	13	0.2	1000000	2000000	-0.0428
1	14	0.2	1000000	2000000	-0.0489		2	14	0.2	1000000	2000000	-0.0476		3	14	0.2	1000000	2000000	-0.0465		4	14	0.2	1000000	2000000	-0.0456		5	14	0.2	1000000	2000000	-0.0441
1	15	0.2	1000000	2000000	-0.0498		2	15	0.2	1000000	2000000	-0.0486		3	15	0.2	1000000	2000000	-0.0476		4	15	0.2	1000000	2000000	-0.0468		5	15	0.2	1000000	2000000	-0.0454
1	1	0.2	200000	4000000	-0.0344		2	1	0.2	200000	4000000	-0.0318		3	1	0.2	200000	4000000	-0.0293		4	1	0.2	200000	4000000	-0.0274		5	1	0.2	200000	4000000	-0.0254
1	2	0.2	200000	4000000	-0.0399		2	2	0.2	200000	4000000	-0.0378		3	2	0.2	200000	4000000	-0.0359		4	2	0.2	200000	4000000	-0.0343		5	2	0.2	200000	4000000	-0.0325
1	3	0.2	200000	4000000	-0.0439		2	3	0.2	200000	4000000	-0.0422		3	3	0.2	200000	4000000	-0.0407		4	3	0.2	200000	4000000	-0.0394		5	3	0.2	200000	4000000	-0.0378
1	4	0.2	200000	4000000	-0.0470		2	4	0.2	200000	4000000	-0.0456		3	4	0.2	200000	4000000	-0.0444		4	4	0.2	200000	4000000	-0.0434		5	4	0.2	200000	4000000	-0.0419
1	5	0.2	200000	4000000	-0.0495		2	5	0.2	200000	4000000	-0.0483		3	5	0.2	200000	4000000	-0.0474		4	5	0.2	200000	4000000	-0.0466		5	5	0.2	200000	4000000	-0.0452
1	6	0.2	200000	4000000	-0.0516		2	6	0.2	200000	4000000	-0.0506		3	6	0.2	200000	4000000	-0.0498		4	6	0.2	200000	4000000	-0.0492		5	6	0.2	200000	4000000	-0.0480
1	7	0.2	200000	4000000	-0.0534		2	7	0.2	200000	4000000	-0.0525		3	7	0.2	200000	4000000	-0.0519		4	7	0.2	200000	4000000	-0.0515		5	7	0.2	200000	4000000	-0.0504
1	8	0.2	200000	4000000	-0.0550		2	8	0.2	200000	4000000	-0.0542		3	8	0.2	200000	4000000	-0.0538		4	8	0.2	200000	4000000	-0.0535		5	8	0.2	200000	4000000	-0.0525
1	9	0.2	200000	4000000	-0.0564		2	9	0.2	200000	4000000	-0.0557		3	9	0.2	200000	4000000	-0.0554		4	9	0.2	200000	4000000	-0.0553		5	9	0.2	200000	4000000	-0.0543
1	10	0.2	200000	4000000	-0.0577		2	10	0.2	200000	4000000	-0.0571		3	10	0.2	200000	4000000	-0.0568		4	10	0.2	200000	4000000	-0.0568		5	10	0.2	200000	4000000	-0.0559
1	11	0.2	200000	4000000	-0.0589		2	11	0.2	200000	4000000	-0.0583		3	11	0.2	200000	4000000	-0.0581		4	11	0.2	200000	4000000	-0.0582		5	11	0.2	200000	4000000	-0.0574
1	12	0.2	200000	4000000	-0.0600		2	12	0.2	200000	4000000	-0.0594		3	12	0.2	200000	4000000	-0.0593		4	12	0.2	200000	4000000	-0.0595		5	12	0.2	200000	4000000	-0.0587
1	13	0.2	200000	4000000	-0.0610		2	13	0.2	200000	4000000	-0.0604		3	13	0.2	200000	4000000	-0.0603		4	13	0.2	200000	4000000	-0.0606		5	13	0.2	200000	4000000	-0.0599
1	14	0.2	200000	4000000	-0.0619		2	14	0.2	200000	4000000	-0.0613		3	14	0.2	200000	4000000	-0.0613		4	14	0.2	200000	4000000	-0.0616		5	14	0.2	200000	4000000	-0.0610
1	15	0.2	200000	4000000	-0.0628		2	15	0.2	200000	4000000	-0.0621		3	15	0.2	200000	4000000	-0.0621		4	15	0.2	200000	4000000	-0.0626		5	15	0.2	200000	4000000	-0.0619
1	1	0.2	400000	4000000	-0.0309		2	1	0.2	400000	4000000	-0.0280		3	1	0.2	400000	4000000	-0.0253		4	1	0.2	400000	4000000	-0.0231		5	1	0.2	400000	4000000	-0.0210
1	2	0.2	400000	4000000	-0.0347		2	2	0.2	400000	4000000	-0.0322		3	2	0.2	400000	4000000	-0.0297		4	2	0.2	400000	4000000	-0.0278		5	2	0.2	400000	4000000	-0.0258
1	3	0.2	400000	4000000	-0.0379		2	3	0.2	400000	4000000	-0.0356		3	3	0.2	400000	4000000	-0.0335		4	3	0.2	400000	4000000	-0.0317		5	3	0.2	400000	4000000	-0.0299
1	4	0.2	400000	4000000	-0.0405		2	4	0.2	400000	4000000	-0.0385		3	4	0.2	400000	4000000	-0.0366		4	4	0.2	400000	4000000	-0.0350		5	4	0.2	400000	4000000	-0.0332
1	5	0.2	400000	4000000	-0.0427		2	5	0.2	400000	4000000	-0.0409		3	5	0.2	400000	4000000	-0.0392		4	5	0.2	400000	4000000	-0.0378		5	5	0.2	400000	4000000	-0.0362
1	6	0.2	400000	4000000	-0.0447		2	6	0.2	400000	4000000	-0.0430		3	6	0.2	400000	4000000	-0.0416		4	6	0.2	400000	4000000	-0.0403		5	6	0.2	400000	4000000	-0.0387
1	7	0.2	400000	4000000	-0.0464		2	7	0.2	400000	4000000	-0.0449		3	7	0.2	400000	4000000	-0.0436		4	7	0.2	400000	4000000	-0.0425		5	7	0.2	400000	4000000	-0.0410
1	8	0.2	400000	4000000	-0.0479		2	8	0.2	400000	4000000	-0.0465		3	8	0.2	400000	4000000	-0.0454		4	8	0.2	400000	4000000	-0.0444		5	8	0.2	400000	4000000	-0.0430
1	9	0.2	400000	4000000	-0.0492		2	9	0.2	400000	4000000	-0.0480		3	9	0.2	400000	4000000	-0.0470		4	9	0.2	400000	4000000	-0.0462		5	9	0.2	400000	4000000	-0.0448
1	10	0.2	400000	4000000	-0.0505		2	10	0.2	400000	4000000	-0.0494		3	10	0.2	400000	4000000	-0.0485		4	10	0.2	400000	4000000	-0.0478		5	10	0.2	400000	4000000	-0.0465
1	11	0.2	400000	4000000	-0.0516		2	11	0.2	400000	4000000	-0.0506		3	11	0.2	400000	4000000	-0.0499		4	11	0.2	400000	4000000	-0.0493		5	11	0.2	400000	4000000	-0.0480
1	12	0.2	400000	4000000	-0.0527		2	12	0.2	400000	4000000	-0.0518		3	12	0.2	400000	4000000	-0.0511		4	12	0.2	400000	4000000	-0.0506		5	12	0.2	400000	4000000	-0.0494
1	13	0.2	400000	4000000	-0.0537		2	13	0.2	400000	4000000	-0.0528		3	13	0.2	400000	4000000	-0.0523		4	13	0.2	400000	4000000	-0.0519		5	13	0.2	400000	4000000	-0.0507
1	14	0.2	400000	4000000	-0.0547		2	14	0.2	400000	4000000	-0.0538		3	14	0.2	400000	4000000	-0.0534		4	14	0.2	400000	4000000	-0.0530		5	14	0.2	400000	4000000	-0.0519
1	15	0.2	400000	4000000	-0.0556		2	15	0.2	400000	4000000	-0.0548		3	15	0.2	400000	4000000	-0.0544		4	15	0.2	400000	4000000	-0.0541		5	15	0.2	400000	4000000	-0.0531
1	1	0.2	600000	4000000	-0.0296		2	1	0.2	600000	4000000	-0.0265		3	1	0.2	600000	4000000	-0.0237		4	1	0.2	600000	4000000	-0.0215		5	1	0.2	600000	4000000	-0.0194
1	2	0.2	600000	4000000	-0.0325		2	2	0.2	600000	4000000	-0.0298		3	2	0.2	600000	4000000	-0.0272		4	2	0.2	600000	4000000	-0.0251		5	2	0.2	600000	4000000	-0.0231
1	3	0.2	600000	4000000	-0.0351		2	3	0.2	600000	4000000	-0.0325		3	3	0.2	600000	4000000	-0.0302		4	3	0.2	600000	4000000	-0.0282		5	3	0.2	600000	4000000	-0.0263
1	4	0.2	600000	4000000	-0.0373		2	4	0.2	600000	4000000	-0.0350		3	4	0.2	600000	4000000	-0.0328		4	4	0.2	600000	4000000	-0.0310		5	4	0.2	600000	4000000	-0.0291
1	5	0.2	600000	4000000	-0.0393		2	5	0.2	600000	4000000	-0.0371		3	5	0.2	600000	4000000	-0.0351		4	5	0.2	600000	4000000	-0.0335		5	5	0.2	600000	4000000	-0.0317
1	6	0.2	600000	4000000	-0.0411		2	6	0.2	600000	4000000	-0.0391		3	6	0.2	600000	4000000	-0.0372		4	6	0.2	600000	4000000	-0.0357		5	6	0.2	600000	4000000	-0.0340
1	7	0.2	600000	4000000	-0.0426		2	7	0.2	600000	4000000	-0.0408		3	7	0.2	600000	4000000	-0.0391		4	7	0.2	600000	4000000	-0.0377		5	7	0.2	600000	4000000	-0.0360
1	8	0.2	600000	4000000	-0.0441		2	8	0.2	600000	4000000	-0.0424		3	8	0.2	600000	4000000	-0.0408		4	8	0.2	600000	4000000	-0.0395		5	8	0.2	600000	4000000	-0.0379
1	9	0.2	600000	4000000	-0.0454		2	9	0.2	600000	4000000	-0.0438		3	9	0.2	600000	4000000	-0.0424		4	9	0.2	600000	4000000	-0.0412		5	9	0.2	600000	4000000	-0.0396
1	10	0.2	600000	4000000	-0.0466		2	10	0.2	600000	4000000	-0.0451		3	10	0.2	600000	4000000	-0.0438		4	10	0.2	600000	4000000	-0.0427		5	10	0.2	600000	4000000	-0.0412
1	11	0.2	600000	4000000	-0.0477		2	11	0.2	600000	4000000	-0.0463		3	11	0.2	600000	4000000	-0.0451		4	11	0.2	600000	4000000	-0.0441		5	11	0.2	600000	4000000	-0.0427
1	12	0.2	600000	4000000	-0.0487		2	12	0.2	600000	4000000	-0.0474		3	12	0.2	600000	4000000	-0.0464		4	12	0.2	600000	4000000	-0.0455		5	12	0.2	600000	4000000	-0.0441
1	13	0.2	600000	4000000	-0.0497		2	13	0.2	600000	4000000	-0.0485		3	13	0.2	600000	4000000	-0.0475		4	13	0.2	600000	4000000	-0.0467		5	13	0.2	600000	4000000	-0.0453
1	14	0.2	600000	4000000	-0.0506		2	14	0.2	600000	4000000	-0.0495		3	14	0.2	600000	4000000	-0.0486		4	14	0.2	600000	4000000	-0.0479		5	14	0.2	600000	4000000	-0.0465
1	15	0.2	600000	4000000	-0.0514		2	15	0.2	600000	4000000	-0.0504		3	15	0.2	600000	4000000	-0.0496		4	15	0.2	600000	4000000	-0.0490		5	15	0.2	600000	4000000	-0.0477
1	1	0.2	800000	4000000	-0.0289		2	1	0.2	800000	4000000	-0.0258		3	1	0.2	800000	4000000	-0.0229		4	1	0.2	800000	4000000	-0.0206		5	1	0.2	800000	4000000	-0.0185
1	2	0.2	800000	4000000	-0.0313		2	2	0.2	800000	4000000	-0.0284		3	2	0.2	800000	4000000	-0.0257		4	2	0.2	800000	4000000	-0.0236		5	2	0.2	800000	4000000	-0.0215
1	3	0.2	800000	4000000	-0.0335		2	3	0.2	800000	4000000	-0.0308		3	3	0.2	800000	4000000	-0.0283		4	3	0.2	800000	4000000	-0.0262		5	3	0.2	800000	4000000	-0.0242
1	4	0.2	800000	4000000	-0.0354		2	4	0.2	800000	4000000	-0.0329		3	4	0.2	800000	4000000	-0.0306		4	4	0.2	800000	4000000	-0.0287		5	4	0.2	800000	4000000	-0.0267
1	5	0.2	800000	4000000	-0.0372		2	5	0.2	800000	4000000	-0.0348		3	5	0.2	800000	4000000	-0.0326		4	5	0.2	800000	4000000	-0.0308		5	5	0.2	800000	4000000	-0.0290
1	6	0.2	800000	4000000	-0.0388		2	6	0.2	800000	4000000	-0.0366		3	6	0.2	800000	4000000	-0.0345		4	6	0.2	800000	4000000	-0.0328		5	6	0.2	800000	4000000	-0.0310
1	7	0.2	800000	4000000	-0.0403		2	7	0.2	800000	4000000	-0.0382		3	7	0.2	800000	4000000	-0.0363		4	7	0.2	800000	4000000	-0.0347		5	7	0.2	800000	4000000	-0.0329
1	8	0.2	800000	4000000	-0.0416		2	8	0.2	800000	4000000	-0.0397		3	8	0.2	800000	4000000	-0.0379		4	8	0.2	800000	4000000	-0.0364		5	8	0.2	800000	4000000	-0.0346
1	9	0.2	800000	4000000	-0.0428		2	9	0.2	800000	4000000	-0.0410		3	9	0.2	800000	4000000	-0.0393		4	9	0.2	800000	4000000	-0.0379		5	9	0.2	800000	4000000	-0.0363
1	10	0.2	800000	4000000	-0.0440		2	10	0.2	800000	4000000	-0.0423		3	10	0.2	800000	4000000	-0.0407		4	10	0.2	800000	4000000	-0.0394		5	10	0.2	800000	4000000	-0.0378
